tweet;clean_tweet;sentiment_svm;sentiment_smote
@ardisatriawan @van_harlend Dan makin mudah relokasi budget dr pemilukada ke MBG misalnya...;makin mudah relokasi budget dr pemilukada mbg misalnya;negatif;negatif
Bikin acara amal bagus kayanya utk korban bencana. Ex: Pertandingan Bola Konser Musik Acara Kampus Makan Gratis Siswa/ Mahasiswa korban Bencana Donor Darah Artis Lelang propertis dll.;bikin acara amal bagus kayanya utk korban bencana ex pertandingan bola konser musik acara kampus makan gratis siswa mahasiswa korban bencana donor darah artis lelang propertis dll;negatif;negatif
Program-program populer seperti Makan Bergizi Gratis dan Tiga Juta Rumah Rakyat terbukti membuat 79 3% orang yang disurvei menilai kinerja pemerintahan Prabowo pada seratus hari pertama baik. https://t.co/rEfG2onF49;programprogram populer seperti makan bergizi gratis tiga juta rumah rakyat terbukti membuat orang disurvei menilai kinerja pemerintahan prabowo seratus hari pertama baik;netral;netral
MIRIS! Menu Makan Bergizi Gratis Makin Bikin Geleng-Geleng Netizen: 'Paket Hemat Sekali' https://t.co/R8fC9ZEqqH;miris menu makan bergizi gratis makin bikin gelenggeleng netizen paket hemat sekali;positif;positif
Kalo mbg kualitasnya kaya yg dimasak chef kumink okelah bahan2nya berkualitas dapurnya bersih gue dukung tapi masalahnya makan mbg taruhannya nyawa ;kalo mbg kualitasnya kaya yg dimasak chef kumink okelah bahannya berkualitas dapurnya bersih gue dukung tapi masalahnya makan mbg taruhannya nyawa;negatif;negatif
Ngeliat di teel ttg makan siang gratis awal paket komplit+susu lama2 susu jd susu ikan eh skrg protein nya jd mau pake ulet n belalang? Better sy minta mentah duit na ajalah masi bs sy masakin yg lbh wajar u anak2. tll bnyk dikorup seh ni program ide nya jd ngaco.;ngeliat teel ttg makan siang gratis awal paket komplitsusu lama susu jd susu ikan eh skrg protein nya jd mau pake ulet n belalang better sy minta mentah duit na ajalah masi bs sy masakin yg lbh wajar u anak tll bnyk dikorup seh ni program ide nya jd ngaco;negatif;negatif
@galiharsyan @tempodotco Bagi Bapak Prabowo Subianto berhasil sering merujuk pada pencapaian konkret yang berdampak nyata bagi rakyat seperti swasembada pangan melalui program makan siang gratis pertumbuhan ekonomi stabil di atas 5% dan penguatan pertahanan nasional. Ia menekankan metrik terukur ;bagi bapak prabowo subianto berhasil sering merujuk pencapaian konkret berdampak nyata bagi rakyat seperti swasembada pangan melalui program makan siang gratis pertumbuhan ekonomi stabil atas penguatan pertahanan nasional ia menekankan metrik terukur;positif;positif
enak sih feb dpt duit tapi kaga bisa makan gratis anjing byee kucingku dan mesin cuci (butuh mesin cuci dikos njirr). see you in puasa maybee?;enak sih feb dpt duit tapi kaga bisa makan gratis anjing byee kucingku mesin cuci butuh mesin cuci dikos njirr see you in puasa maybee;negatif;negatif
MBG ini kebanyakan kasus udahan kok ya metenteng lanjut se;mbg kebanyakan kasus udahan kok ya metenteng lanjut se;negatif;negatif
Fix bansos = adlh instrumen PEMILU mau pileg- pilpres- pilkadal. So rikiplik Konoha akan slalu menghasilkan regim yg jadi berkuasa berkat bansos. Makanya cuma dikasi makan gratis tp pendidikannya gak bermutu. Biar masyarakat ttp ogeb bisa disasar bansos jadi nurut kayak kebo.;fix bansos adlh instrumen pemilu mau pileg pilpres pilkadal so rikiplik konoha akan slalu menghasilkan regim yg berkuasa berkat bansos makanya cuma dikasi makan gratis tp pendidikannya gak bermutu biar masyarakat ttp ogeb bisa disasar bansos nurut kayak kebo;negatif;negatif
Mendikdasmen Abdul Mu ti Sebut Sebagian Besar Masyarakat-Sekolah Berharap MBG Tetap Dilaksanakan Klik untuk baca: https://t.co/MHjmiuzOm6;mendikdasmen abdul mu ti sebut sebagian besar masyarakatsekolah berharap mbg tetap dilaksanakan klik baca;positif;positif
Mana anjir ini mata dia yang buta apa mata aku yang buta sih ga ngeliat nih hasilnya. Hasil yang banyak siswa keracunan MBG itu maksudnya? Atau yang banyak bencana tapi ga ditetapin bencana nasional itu?;mana anjir mata dia buta apa mata aku buta sih ga ngeliat nih hasilnya hasil banyak siswa keracunan mbg maksudnya banyak bencana tapi ga ditetapin bencana nasional;negatif;negatif
Makan Bergizi Gratis tidak hanya memberikan nutrisi tapi juga harapan bagi generasi muda #PenuhiGiziIndonesia https://t.co/bkbCODrQwS;makan bergizi gratis tidak hanya beri nutrisi tapi harapan bagi generasi muda;positif;positif
